City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Batemans Bay,AU,2021-12-13 02:34:37,-35.7167,150.1833,85.19,60,1,8.08
68,Albany,US,2021-12-13 02:34:38,42.6001,-73.9662,40.57,51,0,1.01
69,Eyl,SO,2021-12-13 02:34:39,7.9803,49.8164,74.1,79,4,19.39
70,Ponta Do Sol,PT,2021-12-13 02:34:39,32.6667,-17.1,63.72,77,34,2.48
71,Katsuura,JP,2021-12-13 02:34:39,35.1333,140.3,55.51,41,45,13.09
72,Bukoba,TZ,2021-12-13 02:34:40,-1.3317,31.8122,70.05,79,100,7.14
73,Yellowknife,CA,2021-12-13 02:31:12,62.456,-114.3525,7.32,85,90,5.75
74,Hambantota,LK,2021-12-13 02:34:41,6.1241,81.1185,77.34,100,20,4.61
75,Clyde River,CA,2021-12-13 02:34:41,70.4692,-68.5914,-1.97,92,87,9.22
76,Moron,AR,2021-12-13 02:34:42,-34.6534,-58.6198,75.92,66,98,4.23
77,Bilma,NE,2021-12-13 02:34:42,18.6853,12.9164,61.57,13,9,9.13
78,Vila Franca Do Campo,PT,2021-12-13 02:34:43,37.7167,-25.4333,55.81,57,100,14.7
79,Mortka,RU,2021-12-13 02:33:10,59.3322,66.0214,12.49,89,96,6.55
80,Bluff,NZ,2021-12-13 02:34:44,-46.6,168.3333,63.81,71,45,14.56
81,Kumluca,TR,2021-12-13 02:34:44,36.3703,30.2869,53.67,74,5,5.12
82,Jieshi,CN,2021-12-13 02:34:45,22.8134,115.8257,64.94,61,67,10.69
83,Longyearbyen,SJ,2021-12-13 02:34:46,78.2186,15.6401,31.84,74,75,16.11
84,Gat,IL,2021-12-13 02:34:46,31.61,34.7642,68.92,36,100,3.06
85,Lebu,CL,2021-12-13 02:34:46,-37.6167,-73.65,50.81,86,40,8.03
86,Sao Filipe,CV,2021-12-13 02:34:47,14.8961,-24.4956,74.91,72,94,8.12
87,Buchanan,LR,2021-12-13 02:34:48,5.8808,-10.0467,79.5,84,28,4.74
88,Saldanha,ZA,2021-12-13 02:35:48,-33.0117,17.9442,60.85,93,4,14.05
89,Barrow,US,2021-12-13 02:35:49,71.2906,-156.7887,-14.78,76,1,13.8
90,Grindavik,IS,2021-12-13 02:35:49,63.8424,-22.4338,41.47,87,75,14.97
91,Creel,MX,2021-12-13 02:35:50,27.75,-107.6333,40.95,56,64,1.95
92,Vohibinany,MG,2021-12-13 02:35:51,-17.35,49.0333,70.47,92,65,1.83
93,Kavieng,PG,2021-12-13 02:35:51,-2.5744,150.7967,83.84,75,97,9.15
94,Port Alfred,ZA,2021-12-13 02:35:52,-33.5906,26.891,71.91,94,100,13.49
95,Yangliuqing,CN,2021-12-13 02:35:52,39.1375,116.9997,33.75,30,0,9.24
96,Faanui,PF,2021-12-13 02:35:53,-16.4833,-151.75,81.16,72,100,11.05
97,Nelson Bay,AU,2021-12-13 02:35:54,-32.7167,152.15,78.78,62,17,4.0
98,Clifton,US,2021-12-13 02:35:54,40.8584,-74.1638,44.64,50,1,1.01
99,Moindou,NC,2021-12-13 02:35:55,-21.6924,165.677,76.95,96,100,3.47
100,Staunton,US,2021-12-13 02:34:16,38.1496,-79.0717,38.12,46,1,3.44
101,Namibe,AO,2021-12-13 02:35:56,-15.1961,12.1522,69.87,80,100,4.34
102,New Norfolk,AU,2021-12-13 02:35:56,-42.7826,147.0587,77.67,23,1,2.73
103,Mahebourg,MU,2021-12-13 02:35:57,-20.4081,57.7,76.24,88,40,3.44
104,Puerto Ayora,EC,2021-12-13 02:35:57,-0.7393,-90.3518,68.56,96,96,6.69
105,Shingu,JP,2021-12-13 02:35:58,33.7333,135.9833,56.39,44,5,6.02
106,Yaan,NG,2021-12-13 02:35:58,7.3833,8.5667,74.03,26,24,5.41
107,Dikson,RU,2021-12-13 02:35:59,73.5069,80.5464,-16.4,95,77,17.56
108,Chaiyo,TH,2021-12-13 02:35:59,14.6764,100.4686,78.33,51,13,19.62
109,Yei,SS,2021-12-13 02:35:59,4.095,30.6779,68.81,41,76,2.53
110,Cayenne,GF,2021-12-13 02:36:00,4.9333,-52.3333,77.09,91,90,3.0
111,Gizo,SB,2021-12-13 02:36:00,-8.103,156.8419,85.8,71,22,9.91
112,Sioux Lookout,CA,2021-12-13 02:36:01,50.1001,-91.917,30.58,86,75,5.75
113,Vaini,TO,2021-12-13 02:36:01,-21.2,-175.2,84.36,79,20,13.8
114,Lithgow,AU,2021-12-13 02:31:11,-33.4833,150.15,75.09,34,7,2.59
115,San Andres,CO,2021-12-13 02:36:02,12.5847,-81.7006,80.62,83,40,19.57
116,Port Elizabeth,ZA,2021-12-13 02:36:03,-33.918,25.5701,70.09,88,90,6.91
117,Lugoba,TZ,2021-12-13 02:36:04,-6.45,38.3333,70.77,95,68,2.26
118,Maniitsoq,GL,2021-12-13 02:36:04,65.4167,-52.9,20.86,58,1,4.85
119,Noyabrsk,RU,2021-12-13 02:36:04,63.1994,75.4507,-23.69,100,29,6.8
120,Hamilton,US,2021-12-13 02:35:05,39.1834,-84.5333,39.88,67,1,1.01
121,Bethel,US,2021-12-13 02:36:05,41.3712,-73.414,43.16,57,1,4.61
122,Sur,OM,2021-12-13 02:36:06,22.5667,59.5289,71.04,64,0,8.79
123,Waipawa,NZ,2021-12-13 02:36:06,-41.4122,175.5153,68.94,71,100,4.68
124,Boyuibe,BO,2021-12-13 02:36:07,-20.4167,-63.2833,71.11,90,100,6.46
125,Ambilobe,MG,2021-12-13 02:36:07,-13.2,49.05,74.37,74,3,3.27
126,Hudson Bay,CA,2021-12-13 02:36:08,52.85,-102.3842,19.67,96,97,4.52
127,Mayo,US,2021-12-13 02:36:08,38.8876,-76.5119,43.07,53,1,1.01
128,Menongue,AO,2021-12-13 02:36:09,-14.6585,17.691,62.49,98,96,1.28
129,Plettenberg Bay,ZA,2021-12-13 02:36:09,-34.0527,23.3716,65.35,94,100,2.8
130,Norman Wells,CA,2021-12-13 02:36:10,65.282,-126.8329,-2.16,71,75,14.97
131,Bandarbeyla,SO,2021-12-13 02:36:10,9.4942,50.8122,75.85,77,8,20.38
132,Coquimbo,CL,2021-12-13 02:36:11,-29.9533,-71.3436,60.53,82,0,6.91
133,Pangnirtung,CA,2021-12-13 02:36:11,66.1451,-65.7125,-5.06,71,78,6.87
134,Topolovgrad,BG,2021-12-13 02:36:12,42.0833,26.3333,42.17,95,100,5.5
135,Urengoy,RU,2021-12-13 02:36:12,65.9667,78.3667,-27.98,91,15,7.56
136,Upernavik,GL,2021-12-13 02:36:13,72.7868,-56.1549,5.76,93,100,10.92
137,Esperance,AU,2021-12-13 02:37:13,-33.8667,121.9,69.64,43,84,6.17
138,Jaisalmer,IN,2021-12-13 02:37:14,26.9147,70.9181,60.37,26,86,6.31
139,Severo-Kurilsk,RU,2021-12-13 02:37:14,50.6789,156.125,33.91,80,23,1.54
140,Hammerfest,NO,2021-12-13 02:37:15,70.6634,23.6821,32.45,100,75,0.0
141,Carnarvon,AU,2021-12-13 02:37:15,-24.8667,113.6333,78.87,57,0,19.57
142,Dalvik,IS,2021-12-13 02:37:16,65.9702,-18.5286,39.13,71,40,12.3
